słówko;tłumaczenie;lekcja
el caballo;koń;Lección 1: Somos como somos
la cebra;zebra;Lección 1: Somos como somos
el elefante;słoń;Lección 1: Somos como somos
la gallina;kura;Lección 1: Somos como somos
el gato;kot;Lección 1: Somos como somos
la jirafa;żyrafa;Lección 1: Somos como somos
el león;lew;Lección 1: Somos como somos
el loro;papuga;Lección 1: Somos como somos
el pollito;kurczątko;Lección 1: Somos como somos
el perro;pies;Lección 1: Somos como somos
el ratón;mysz;Lección 1: Somos como somos
el tigre;tygrys;Lección 1: Somos como somos
el toro;byk;Lección 1: Somos como somos
la tortuga;żółw;Lección 1: Somos como somos
la vaca;krowa;Lección 1: Somos como somos
el zorro;lis;Lección 1: Somos como somos
la ceja;brew;Lección 1: Somos como somos
el labio;warga;Lección 1: Somos como somos
la mejilla;policzek;Lección 1: Somos como somos
el pelo;włosy;Lección 1: Somos como somos
la pestaña;rzęsa;Lección 1: Somos como somos
buen humor;dobry humor;Lección 1: Somos como somos
de buen (mal) humor;w dobrym (złym) humorze;Lección 1: Somos como somos
abierto/a;otwarty/a;Lección 1: Somos como somos
aburrido/a;nudny/a, znudzony/a;Lección 1: Somos como somos
agresivo/a;agresywny/a;Lección 1: Somos como somos
alargado/a;wydłużony/a, podłużny/a;Lección 1: Somos como somos
asustado/a;przestraszony/a;Lección 1: Somos como somos
bonito/a;ładny/a;Lección 1: Somos como somos
cerrado/a;zamknięty/a;Lección 1: Somos como somos
claro/a;jasny/a;Lección 1: Somos como somos
cobarde;tchórz;Lección 1: Somos como somos
contento/a;radosny/a, zadowolony/a;Lección 1: Somos como somos
corto/a;krótki/a;Lección 1: Somos como somos
desorganizado/a;niezorganizowany/a;Lección 1: Somos como somos
egoísta;egoistyczny/a;Lección 1: Somos como somos
emotivo/a;wzruszający/a;Lección 1: Somos como somos
enamorado/a;zakochany/a;Lección 1: Somos como somos
enfadado/a;zły/a, zezłoszczony/a;Lección 1: Somos como somos
feliz;szczęśliwy/a;Lección 1: Somos como somos
fiel;wierny/a;Lección 1: Somos como somos
fuerte;silny/a;Lección 1: Somos como somos
grande;duży/a;Lección 1: Somos como somos
generoso/a;hojny/a;Lección 1: Somos como somos
genial;genialny/a;Lección 1: Somos como somos
grueso/a;gruby/a;Lección 1: Somos como somos
independiente;wolny/a, niezależny/a;Lección 1: Somos como somos
inteligente;inteligentny/a;Lección 1: Somos como somos
largo/a;długi/a;Lección 1: Somos como somos
liso/a;gładki/a, prosty/a;Lección 1: Somos como somos
nervioso/a;nerwowy/a, zdenerwowany/a;Lección 1: Somos como somos
ocupado/a;zajęty/a;Lección 1: Somos como somos
